0	0.0	-175.49	-175.49	-175.49	-175.49	-175.49
1	0.0	-121.77	-168.33	-121.77	-121.77	-121.77
2	0.0	-71.63	-132.51	-71.63	-71.63	-71.63
3	0.0	-21.49	-139.68	-21.49	-21.49	-21.49
4	0.0	32.23	-157.58	32.23	32.23	32.23
5	0.0	82.37	-146.84	82.37	82.37	82.37
6	0.0	132.51	-161.16	132.51	132.51	132.51
7	0.0	-168.33	-121.77	-118.19	-68.05	-14.33
8	0.0	-118.19	-118.19	-68.05	-14.33	35.81
9	0.0	-68.05	-82.37	-14.33	35.81	85.95
10	0.0	-14.33	-89.54	35.81	85.95	136.09
11	0.0	35.81	-103.86	85.95	136.09	-168.33
12	0.0	85.95	-93.12	136.09	-168.33	-118.19
13	0.0	136.09	-111.02	-168.33	-118.19	-68.05
14	0.0	-132.51	-71.63	-32.23	71.63	175.49
15	0.0	-82.37	-68.05	21.49	121.77	-132.51
16	0.0	-32.23	-32.23	71.63	175.49	-82.37
17	0.0	21.49	-39.4	121.77	-132.51	-32.23
18	0.0	71.63	-53.72	175.49	-82.37	21.49
19	0.0	121.77	-42.98	-132.51	-32.23	71.63
20	0.0	175.49	-60.88	-82.37	21.49	121.77
21	0.0	-139.68	-21.49	14.33	168.33	-39.4
22	0.0	-89.54	-14.33	64.47	-139.68	14.33
23	0.0	-39.4	21.49	114.61	-89.54	64.47
24	0.0	14.33	14.33	168.33	-39.4	114.61
25	0.0	64.47	-3.58	-139.68	14.33	168.33
26	0.0	114.61	7.16	-89.54	64.47	-139.68
27	0.0	168.33	-7.16	-39.4	114.61	-89.54
28	0.0	-157.58	32.23	46.56	-103.86	100.28
29	0.0	-103.86	35.81	100.28	-53.72	150.42
30	0.0	-53.72	71.63	150.42	-3.58	-157.58
31	0.0	-3.58	64.47	-157.58	46.56	-103.86
32	0.0	46.56	46.56	-103.86	100.28	-53.72
33	0.0	100.28	60.88	-53.72	150.42	-3.58
34	0.0	150.42	42.98	-3.58	-157.58	46.56
35	0.0	-146.84	82.37	111.02	7.16	-93.12
36	0.0	-93.12	85.95	161.16	60.88	-42.98
37	0.0	-42.98	121.77	-146.84	111.02	7.16
38	0.0	7.16	114.61	-93.12	161.16	60.88
39	0.0	60.88	100.28	-42.98	-146.84	111.02
40	0.0	111.02	111.02	7.16	-93.12	161.16
41	0.0	161.16	93.12	60.88	-42.98	-146.84
42	0.0	-161.16	132.51	143.26	93.12	42.98
43	0.0	-111.02	136.09	-161.16	143.26	93.12
44	0.0	-60.88	175.49	-111.02	-161.16	143.26
45	0.0	-7.16	168.33	-60.88	-111.02	-161.16
46	0.0	42.98	150.42	-7.16	-60.88	-111.02
47	0.0	93.12	161.16	42.98	-7.16	-60.88
48	0.0	143.26	143.26	93.12	42.98	-7.16
