0	125.7	47.94	120.01	7.06	98.38	155.11	143.06	100.98	25.22	49.06
1	64.54	122.9	40.45	102.0	54.94	79.07	72.71	30.98	166.24	98.18
2	15.61	9.74	137.08	71.35	2.27	0.77	115.96	55.13	103.41	141.86
3	179.46	162.59	57.56	178.94	139.89	122.3	6.29	167.32	65.13	5.38
4	146.51	42.7	6.67	142.11	170.06	171.61	102.79	78.16	132.56	116.23
5	40.3	150.73	108.52	57.02	36.62	62.56	43.72	143.95	81.02	75.35
6	82.04	82.48	68.31	116.32	85.11	29.23	178.36	122.95	8.64	29.03
7	110.84	112.26	170.2	43.88	132.73	93.85	57.45	9.35	137.78	162.54
8	100.51	12.5	82.44	50.44	58.42	124.12	96.14	79.09	117.58	11.43
9	73.12	176.58	162.01	155.21	106.08	19.99	25.76	149.01	73.5	156.2
10	29.54	62.01	20.46	28.68	154.53	76.65	162.53	124.84	16.85	109.88
13	3.8	92.61	49.03	20.15	166.58	37.19	88.52	36.12	174.29	44.07
14	51.05	22.95	134.15	163.73	113.87	48.91	133.86	57.11	96.07	87.75
15	113.61	142.21	32.26	81.46	70.47	164.11	13.01	170.62	49.97	125.63
16	121.14	29.48	166.95	120.02	144.34	39.93	73.76	65.17	72.78	71.85
17	48.71	137.14	88.84	34.95	5.98	104.16	138.5	179.39	118.26	118.33
18	6.14	67.58	93.63	139.05	48.94	161.22	5.27	110.59	151.39	164.65
19	158.7	97.73	15.47	66.64	90.23	51.77	120.51	44.18	17.57	25.53
21	28.04	131.92	155.77	169.9	80.66	132.65	110.91	22.21	38.96	51.16
23	92.23	170.45	127.84	111.67	176.06	68.32	170.26	156.36	95.39	138.35
24	101.6	87.2	35.59	162.43	15.26	59.65	30.36	114.84	159.89	36.32
25	85.39	106.08	113.7	87.21	146.59	174.55	95.06	0.54	31.52	178.46
26	36.95	37.93	63.82	95.94	110.67	96.56	48.32	69.35	58.82	134.78
27	155.75	156.86	141.98	13.69	62.35	26.53	163.59	135.84	109.76	80.0
30	60.53	54.42	175.14	50.9	162.65	113.81	21.05	91.47	144.14	66.9
31	134.37	117.78	74.71	148.63	24.33	9.29	125.11	23.57	2.32	102.14
