0	0.0	-180.0	-180.0
1	0.0	0.0	0.0
2	0.0	90.0	-90.0
3	0.0	-90.0	90.0
4	0.0	-45.0	-45.0
5	0.0	135.0	135.0
6	0.0	45.0	-135.0
7	0.0	-135.0	45.0
8	0.0	-112.5	-67.5
9	0.0	67.5	112.5
10	0.0	157.5	-157.5
11	0.0	-22.5	22.5
12	0.0	-67.5	-112.5
13	0.0	112.5	67.5
14	0.0	22.5	-22.5
15	0.0	-157.5	157.5
16	0.0	-146.25	-11.25
17	0.0	33.75	168.75
18	0.0	123.75	-101.25
19	0.0	-56.25	78.75
20	0.0	-11.25	-146.25
21	0.0	168.75	33.75
22	0.0	78.75	-56.25
23	0.0	-101.25	123.75
24	0.0	-123.75	-123.75
25	0.0	56.25	56.25
26	0.0	146.25	-33.75
27	0.0	-33.75	146.25
28	0.0	-78.75	-78.75
29	0.0	101.25	101.25
30	0.0	11.25	-168.75
31	0.0	-168.75	11.25
