0	41.22	163.35	178.04	59.79	118.4	165.79	130.36	88.43	76.63	166.5
1	140.55	88.9	22.39	144.8	65.23	45.3	13.18	159.65	131.55	46.19
2	93.7	115.7	131.0	43.25	8.3	20.95	172.11	108.78	164.99	15.61
3	84.55	35.64	62.37	116.3	179.59	128.26	66.84	3.15	43.1	131.7
4	46.88	101.89	38.2	105.49	138.9	150.09	145.95	121.5	154.04	70.87
5	134.87	4.81	149.57	10.47	34.58	89.17	70.5	35.17	9.14	141.83
6	178.2	154.84	79.59	178.99	71.83	24.92	91.57	53.25	65.61	111.24
7	0.04	52.05	103.94	72.01	103.01	96.21	29.48	150.09	97.48	36.06
8	21.42	134.87	68.07	12.8	55.37	115.36	155.26	133.18	144.23	118.15
9	159.64	29.49	91.55	97.61	131.07	11.05	83.69	25.05	18.84	3.83
10	113.67	170.91	27.92	86.3	166.94	57.72	102.3	63.35	53.08	58.34
11	65.28	71.15	138.75	159.15	18.14	175.57	41.25	138.39	110.09	179.68
12	71.91	140.25	120.72	147.11	24.72	108.76	119.66	76.2	86.33	22.54
13	109.14	57.15	51.56	51.93	151.56	34.48	1.39	170.63	121.74	99.46
14	153.0	98.2	166.52	130.56	90.36	76.4	162.78	97.78	177.6	153.94
15	25.94	20.81	10.0	23.44	81.66	139.96	53.67	15.36	30.57	84.05
16	30.97	92.5	98.97	168.96	169.13	39.77	19.66	92.31	13.66	140.14
17	147.26	15.26	77.44	73.61	2.93	103.48	123.84	20.74	138.16	74.68
18	103.93	145.78	143.19	107.41	58.47	145.23	60.71	70.47	104.9	43.38
19	77.82	62.88	29.02	0.11	117.78	71.15	178.28	176.45	47.01	101.81
20	59.23	176.63	50.37	36.05	110.66	4.35	76.67	57.84	115.68	55.75
21	119.01	76.67	116.2	120.68	74.37	122.05	139.83	143.82	81.15	159.04
22	165.86	129.32	0.55	64.55	44.16	168.89	22.95	127.4	24.5	127.77
23	15.91	23.79	159.01	137.23	142.32	64.38	98.05	30.92	172.41	17.44
24	6.26	149.11	12.06	128.99	15.58	83.9	88.81	47.74	125.66	92.5
25	172.69	46.53	171.4	33.44	159.3	155.35	150.19	155.52	71.27	33.02
26	128.83	107.44	60.65	157.49	127.63	90.92	36.48	115.73	37.21	85.39
27	52.22	10.51	127.01	49.99	45.8	30.2	107.02	41.03	159.63	149.09
28	79.34	121.4	153.47	81.9	87.02	51.98	6.12	103.31	3.78	8.12
29	99.61	41.19	39.83	166.37	100.83	159.12	114.89	8.54	148.15	117.38
30	145.58	157.82	110.48	20.35	152.17	134.95	48.6	82.7	92.12	169.78
31	35.48	83.17	89.83	92.87	31.5	14.27	167.9	165.47	59.72	64.73
