15.0	120.3	36.54	87.61	-52.34	43.18	96.31	118.46	77.58	-9.58	-10.94
1.0	59.14	111.5	8.05	42.6	-0.26	20.27	48.11	7.58	131.44	38.18
16.0	10.21	-1.66	104.68	11.95	-52.93	-58.03	91.36	31.73	68.61	81.86
7.0	174.06	151.19	25.16	119.54	84.69	63.5	-18.31	143.92	30.33	-54.62
18.0	141.11	31.3	-25.73	82.71	114.86	112.81	78.19	54.76	97.76	56.23
24.0	34.9	139.33	76.12	-2.38	-18.58	3.76	19.12	120.55	46.22	15.35
23.0	76.64	71.08	35.91	56.92	29.91	-29.57	153.76	99.55	-26.16	-30.97
27.0	105.44	100.86	137.8	-15.52	77.53	35.05	32.85	-14.05	102.98	102.54
4.0	95.11	1.1	50.04	-8.96	3.22	65.32	71.54	55.69	82.78	-48.57
19.0	67.72	165.18	129.61	95.81	50.88	-38.81	1.16	125.61	38.7	96.2
26.0	24.14	50.61	-11.94	-30.72	99.33	17.85	137.93	101.44	-17.95	49.88
10.0	-1.6	81.21	16.63	-39.25	111.38	-21.61	63.92	12.72	139.49	-15.93
25.0	45.65	11.55	101.75	104.33	58.67	-9.89	109.26	33.71	61.27	27.75
0.0	108.21	130.81	-0.14	22.06	15.27	105.31	-11.59	147.22	15.17	65.63
13.0	115.74	18.08	134.55	60.62	89.14	-18.87	49.16	41.77	37.98	11.85
17.0	43.31	125.74	56.44	-24.45	-49.22	45.36	113.9	155.99	83.46	58.33
31.0	0.74	56.18	61.23	79.65	-6.26	102.42	-19.33	87.19	116.59	104.65
9.0	153.3	86.33	-16.93	7.24	35.03	-7.03	95.91	20.78	-17.23	-34.47
14.0	22.64	120.52	123.37	110.5	25.46	73.85	86.31	-1.19	4.16	-8.84
5.0	86.83	159.05	95.44	52.27	120.86	9.52	145.66	132.96	60.59	78.35
3.0	96.2	75.8	3.19	103.03	-39.94	0.85	5.76	91.44	125.09	-23.68
8.0	79.99	94.68	81.3	27.81	91.39	115.75	70.46	-22.86	-3.28	118.46
6.0	31.55	26.53	31.42	36.54	55.47	37.76	23.72	45.95	24.02	74.78
21.0	150.35	145.46	109.58	-45.71	7.15	-32.27	138.99	112.44	74.96	20.0
30.0	55.13	43.02	142.74	-8.5	107.45	55.01	-3.55	68.07	109.34	6.9
2.0	128.97	106.38	42.31	89.23	-30.87	-49.51	100.51	0.17	-32.48	42.14
